Personas;Estatus dentro de la familia Moral y Beristain
Juan Antonio Blázquez;1
Luisa Blázquez;1
Jerónimo Díaz;99
Domingo del Moral y Beristain;2
María Beristain;1
Andrés del Moral y Beristain;2
Joaquín del Moral y Beristain;2
Juan del Moral y Beristain;2
José Ruiz de León;4
Antonio Nogales;99
Ana María del Moral;2
Isidro Marín Bullón;1
Luis Blázquez;2
Guitian o Careu;4
María Justa Blázquez;2
Matías Jacinto Marín Bullón;1
Padres y hermanos de Isidro Marín Bullón ;1
